model,scheme,objective,scenario,level,reference_label,reference_price,primary_resolution_key,resolution_label,resolution_value,spot,strike,maturity,option_type,r,q,sigma,N_S,N_t,status,price,runtime_sec,abs_error,rel_error,delta_from_previous,observed_order,error_message,kappa,theta,xi,rho,v0,N_v,lambda_jump,jump_mean,jump_std
black_scholes,explicit,convergence,stable_coupled_refinement,1,black_scholes_closed_form,10.450583572185565,N_S,N_S,25.0,100.0,100.0,1.0,call,0.05,0.0,0.2,25,625,success,10.126430110168036,0.010387792019173503,0.32415346201752904,0.031017737887888856,,,,,,,,,,,,
black_scholes,explicit,convergence,stable_coupled_refinement,2,black_scholes_closed_form,10.450583572185565,N_S,N_S,35.0,100.0,100.0,1.0,call,0.05,0.0,0.2,35,1225,success,10.471059464263503,0.02869566692970693,0.020475892077937985,0.001959306093913739,0.344629354095467,8.208608477399892,,,,,,,,,,
black_scholes,explicit,convergence,stable_coupled_refinement,3,black_scholes_closed_form,10.450583572185565,N_S,N_S,50.0,100.0,100.0,1.0,call,0.05,0.0,0.2,50,2500,success,9.57153958445663,0.0815182498190552,0.8790439877289344,0.08411434458727525,0.8995198798068724,-10.540652785751472,,,,,,,,,,
black_scholes,explicit,convergence,stable_coupled_refinement,4,black_scholes_closed_form,10.450583572185565,N_S,N_S,70.0,100.0,100.0,1.0,call,0.05,0.0,0.2,70,4900,success,10.037820919748897,0.2216354999691248,0.4127626524366672,0.039496612757132836,0.46628133529226723,2.246729806360505,,,,,,,,,,
black_scholes,implicit,convergence,spatial_refinement,1,black_scholes_closed_form,10.450583572185565,N_S,N_S,50.0,100.0,100.0,1.0,call,0.05,0.0,0.2,50,1600,success,9.57049732841478,0.10933045786805451,0.8800862437707853,0.0842140764380998,,,,,,,,,,,,
black_scholes,implicit,convergence,spatial_refinement,2,black_scholes_closed_form,10.450583572185565,N_S,N_S,75.0,100.0,100.0,1.0,call,0.05,0.0,0.2,75,1600,success,10.907270982381133,0.1620435828808695,0.4566874101955687,0.043699704140068435,1.336773653966354,1.617946257096372,,,,,,,,,,
black_scholes,implicit,convergence,spatial_refinement,3,black_scholes_closed_form,10.450583572185565,N_S,N_S,100.0,100.0,100.0,1.0,call,0.05,0.0,0.2,100,1600,success,10.389626830916216,0.21485662506893277,0.060956741269349024,0.0058328552514126195,0.5176441514649177,7.000209233281318,,,,,,,,,,
black_scholes,implicit,convergence,spatial_refinement,4,black_scholes_closed_form,10.450583572185565,N_S,N_S,150.0,100.0,100.0,1.0,call,0.05,0.0,0.2,150,1600,success,10.673512481739918,0.32099016616120934,0.22292890955435318,0.0213317187518296,0.2838856508237022,-3.1980272787652697,,,,,,,,,,
black_scholes,implicit,convergence,temporal_refinement,1,black_scholes_closed_form,10.450583572185565,N_t,N_t,100.0,100.0,100.0,1.0,call,0.05,0.0,0.2,200,100,success,10.216155221601262,0.02640983392484486,0.23442835058430234,0.022432082281819938,,,,,,,,,,,,
black_scholes,implicit,convergence,temporal_refinement,2,black_scholes_closed_form,10.450583572185565,N_t,N_t,200.0,100.0,100.0,1.0,call,0.05,0.0,0.2,200,200,success,10.221440834078223,0.05225237482227385,0.22914273810734187,0.021926310289236844,0.005285612476960466,0.03290048741599166,,,,,,,,,,
